,Unnamed: 0,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,core_cnt,giant_com_ratio,token,core_ratio,avg_core_neighbor
0,0,458,671,2020-10-10,2.930131004366812,14.819539130032384,62.0,84.61415694525093,21.159463487332346,0.0064116652174328,0.032427875558058,0.0043672361071195,0.0660094933433808,0.4885527972796793,5.82773223512957e-05,0.0273979604991819,0.037893178958782,0.295043588088171,0.0677557896813008,6,2,0.9759825327510916,AAVE,0.004366812227074236,212.5
1,1,378,557,2020-10-11,2.947089947089947,13.5616229671758,50.4,71.5249762126645,17.1016157989228,0.0078172147137664,0.0359724747139936,0.0106568090199042,0.1024610077392552,0.4826429738693759,0.0001678227791452,0.0305603943835396,0.0414258964982033,0.289898055246306,0.0761132338939239,7,3,0.9682539682539684,AAVE,0.007936507936507936,142.0
2,2,453,624,2020-10-12,2.7549668874172184,13.59185412317031,55.8,77.78146023028594,20.254326923076924,0.0060950594854363,0.0300704737238278,0.0257547329641143,0.1538554825387931,0.5216204902202497,0.0004201092283993,0.0279730836233765,0.0377910676354304,0.2869170992930329,0.0804169733444344,9,2,0.9492273730684326,AAVE,0.004415011037527594,186.5
3,3,538,749,2020-10-13,2.784386617100372,14.630074688027111,67.5,89.44675635383445,24.242323097463284,0.0051850774992558,0.0272440869423223,0.0149166908416076,0.1098173777792292,0.5041835932556271,0.0005611672278338,0.0257999340661868,0.0345734182337671,0.2754817871640933,0.0794327818993566,12,2,0.9516728624535316,AAVE,0.0037174721189591076,222.5
4,4,710,1002,2020-10-14,2.822535211267605,15.437011531264195,84.8,105.40482805724687,30.043912175648703,0.0039810087606031,0.0217729358692022,0.0150865989150962,0.1113156150619041,0.5733667395747428,0.0005909549136162,0.0210953376636103,0.0310611703113926,0.2808392004584792,0.0547395324619198,5,4,0.9873239436619718,AAVE,0.005633802816901409,184.25
5,5,926,1163,2020-10-15,2.511879049676026,13.375870543246023,91.2,97.07591531030413,36.30748065348237,0.0027155449185686,0.0144604005872933,0.0151445677943448,0.1116586115036506,0.6459008745579725,0.0006035074432584,0.0182243437058959,0.0273604700558078,0.2182884770414641,0.0766217831109622,43,5,0.908207343412527,AAVE,0.005399568034557235,168.8
6,6,791,1036,2020-10-16,2.6194690265486726,13.65999704287583,88.6,89.3932634797251,33.82364864864864,0.0033157835779097,0.0172911354973113,0.0158759521266861,0.1141614057306036,0.6253302909914882,0.0006765899864682,0.0193713810234498,0.0298344998541059,0.2457591363174465,0.0683501446056343,17,5,0.945638432364096,AAVE,0.006321112515802781,158.4
7,7,670,948,2020-10-17,2.8298507462686566,14.13772756792489,83.2,86.61896122930848,29.40084388185654,0.0042299712201325,0.0211326271568383,0.0216901990163069,0.131124594589948,0.5703246007584252,0.001180930164747,0.022429066690437,0.0314794109796897,0.2622042379515566,0.0709493136071838,15,5,0.953731343283582,AAVE,0.007462686567164179,151.4
8,8,658,879,2020-10-18,2.6717325227963524,13.08426583797916,76.9,78.92816706066063,28.78282138794085,0.0040665639616383,0.0199151687031644,0.0192599159486898,0.1267551183044672,0.5931454582399848,0.0009357454772301,0.0219581301318175,0.0322362630565252,0.2466886877725054,0.0788177966431305,21,5,0.9224924012158054,AAVE,0.007598784194528876,140.0
9,9,739,995,2020-10-19,2.692828146143437,12.821860143766251,82.6,78.78691374700355,30.6740703517588,0.0036488186262105,0.0173737942327457,0.0240908661666295,0.1385466429773701,0.626874573874398,0.0012510425354462,0.0198494060258056,0.0309916239762204,0.2261866137319036,0.0800404673022031,25,5,0.9039242219215156,AAVE,0.006765899864682003,144.6
10,10,865,1135,2020-10-20,2.6242774566473988,12.610846034295127,91.4,79.3560191653902,34.82863436123348,0.003037358167416,0.0145958866137677,0.0244713183786965,0.1396671798099821,0.643785441207864,0.0013608142205086,0.0185549180347972,0.0285083136319821,0.2205653741988305,0.0823346755771844,44,5,0.8890173410404625,AAVE,0.005780346820809248,154.6
11,11,831,1127,2020-10-21,2.7123947051744888,13.119940784401376,91.3,83.11043523195174,33.66029281277728,0.003267945427921,0.0158071575715673,0.021291263098701,0.1347374279873288,0.6393626159232647,0.000613371498671,0.0185330878185899,0.0293416105096684,0.244186980124206,0.0695405714238339,21,5,0.9386281588447654,AAVE,0.006016847172081829,155.4
12,12,860,1166,2020-10-22,2.7116279069767444,13.243070264708525,94.4,84.51719088774517,34.81303602058319,0.0031567263177842,0.01541684547696,0.0201372081960583,0.1271327676504118,0.6320445792596986,0.0009700450100884,0.0176772057812871,0.0291769939103117,0.2356963791329483,0.0725172105020934,28,5,0.9290697674418604,AAVE,0.005813953488372093,158.0
13,13,811,1092,2020-10-23,2.6929716399506782,12.322144571358644,86.7,74.62506281404391,32.19491758241758,0.0033246563456181,0.0152125241621712,0.0140077605731469,0.1048677452538818,0.6643047504998055,0.0010420120305025,0.017920000326646,0.0302166351066335,0.2292812416948628,0.065538832778706,22,3,0.9432799013563502,AAVE,0.0036991368680641184,185.33333333333331
14,14,665,899,2020-10-24,2.7037593984962407,12.169525475690032,72.7,72.84999809349497,26.8884872080089,0.0040719268049641,0.018327598607967,0.0281801805086756,0.1496890840249457,0.6288157277706902,0.001775147928994,0.0202098396007841,0.0331205580086375,0.2334208954797407,0.0760550343949474,23,3,0.9203007518796992,AAVE,0.004511278195488722,171.0
