,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd,Unnamed: 0.1,num_nodes,num_edges,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor,relative_degree,ETHPriceUSD
422,2021-12-06,908.0,1567.0,77681.0,95102.0,334.0,43192.0,86848.0,79.0,9905.0,103215.0,96403.0,87550.0,81775.0,2221.0,20.0,15030.0,128.0,52389.0,456.0,4.0,63723.0,654.0,85083.0,3309.0,28.0,90383.0,22463.0,169.0,1638843296.0,2431079512.6622405,0.935549575566,0.782922503345,2961107643.022416,2483059292.2372127,2478027748.7141666,3165099659.450377,0.0,0.0,0.931094697093,32.087818308805,33.38948523301182,26.852959686314,27.942270561374134,0.0036621682091578,185.069227688901,109.8911409679941,-41.79192083124378,192.044627328348,0.003893288927296,0.045827688667376,169.843089059933,192.044627328348,0.001670279611,13418005.209227024,10883503.277416738,7658269.935317275,13136054.778100949,13418005.209227024,9131490.894536551,13418005.209227024,13418005.209227024,13418005.209227024,8111534.326562787,10421222.752087347,13418005.209227024,82.1003423631,15453265.074857622,15999116.115934623,15999997.142583936,14897515.153483488,15974380.496646184,15999953.096308207,13512093.596713847,15790709.431632932,15999998.78648292,15999961.277000053,15999630.80866802,15985525.559927275,15854380.142416608,15533566.492026689,11448191.684757346,14118278.529222813,15047065.946717743,7638085.565785646,15999982.034602152,15999893.711494507,15994601.949426211,15191157.616862724,15613344.221146008,12057648.908911452,15910055.233550776,14428942.019425115,13796511.049286213,15797206.70498199,15338451.828991756,16000000.0,13389734.099283647,1704.0,0.019722222222,1870.0,498631.5942710789,92281364.053034,355.8591653057886,65858.58088915926,121.40674468612414,22468.65247528458,12.427474692362,0.0568246294573897,0.0479267221139494,,,422,908,1122,2.47136563876652,6.762326366748108,51.4,35.01491745591362,20.798217468805703,0.0027247691717381,0.0074557071298215,0.0097936518690353,0.0713199837555151,0.7456572646884068,0.0064325917984454,0.0127292255706611,0.0306647028584134,0.1422270394491076,0.0675808959251856,65,0.8337004405286343,AAVE,17,0.0187224669603524,41.11764705882353,0.0027247691717381694,4341.94102104033
423,2021-12-07,772.0,1568.0,77731.0,95163.0,333.0,43229.0,86907.0,79.0,9910.0,103294.0,96464.0,87611.0,81827.0,2226.0,19.0,15035.0,130.0,52426.0,449.0,4.0,63892.0,651.0,85155.0,3336.0,29.0,90481.0,22604.0,169.0,1638929407.0,2453377915.1169457,0.94081554437,0.787337971323,2988786546.854352,2506472090.9349594,2501218385.047237,3176803959.8611336,0.0,0.0,0.931368278013,65.937720730958,34.083751859257895,55.181136817536,28.523584888150992,0.0036935463428307,186.799159178397,105.33069241606042,-41.48464271847271,185.069227688901,0.0036621682091578,0.0426236162103738,164.048456681869,185.069227688901,0.001671004782,13418151.428722128,10880439.81090684,7666203.4683921775,13133773.8665832,13418151.428722128,9122701.21305536,13418151.428722128,13418151.428722128,13418151.428722128,8048730.324766031,10416605.928136269,13418151.428722128,82.0860866661,15452399.414000599,15999115.508136604,15999997.142439272,14901892.448202612,15974371.122857155,15999953.072178058,13507533.63622006,15790567.152919345,15999998.786338257,15999961.276592242,15999630.41306393,15985516.479876831,15854239.706608782,15533341.673940532,11329628.116936296,14142934.56941665,15043167.716650032,7633845.292552693,15999982.233416632,15999894.48706389,15994665.635972556,15189563.046241634,15614367.677282019,12106039.341514852,15910658.692623088,14440333.528703582,13796517.28271742,15797111.116683608,15337405.029242644,16000000.0,13389880.318778751,1214.0,0.014050925926,1342.0,242653.2161353284,45327416.74601319,262.14207819321274,48967.91979176973,27.941,5219.355306603591,12.416101296638,0.0565584913003579,0.0480199036334964,,,423,772,919,2.380829015544041,6.409505371268451,41.9,35.88082124664001,17.59891186071817,0.0030879753768405,0.0083132365386101,0.0128601243313681,0.1037269076886229,0.7692748066747115,0.0031567870922483,0.0134562475787989,0.0334022665503019,0.1376014874688378,0.0676630831491627,48,0.8173575129533679,AAVE,16,0.0207253886010362,34.125,0.0030879753768405208,4303.76265166569
424,2021-12-08,849.0,1569.0,77711.0,95150.0,330.0,43163.0,86893.0,81.0,9875.0,103296.0,96452.0,87596.0,81811.0,2218.0,19.0,14979.0,131.0,52368.0,458.0,4.0,64986.0,711.0,85336.0,3616.0,29.0,90790.0,24129.0,178.0,1639016249.0,2637948793.0866194,0.984149434089,0.824023092755,3213036607.309952,2694563233.932033,2690258481.672592,3264785301.9238963,0.0,0.0,0.93085901444,53.780307439092,36.71579599484424,45.029965704658,30.741940929576767,0.0039764789295529,200.814787956872,150.2620567436492,-39.590133224205736,186.799159178397,0.0036935463428307,0.0434036851697896,165.710901839124,186.799159178397,0.001672443231,13424986.108095635,10916939.653186912,7644761.45527073,13136227.764526775,13424986.108095635,9180279.833078543,13424986.108095635,13424986.108095635,13424986.108095635,8126007.232256105,10463469.961906504,13424986.108095635,82.1014235283,15454721.401919154,15999115.060964491,15999997.141047155,14893744.231042149,15974345.781626303,15999953.078621432,13515024.089859605,15790951.469781673,15999998.786252856,15999961.269568617,15999630.390662024,15985499.523357335,15854355.723310228,15534466.010726037,11304074.779936204,14143249.287951272,15049682.460113453,7604396.713625332,15999983.888264852,15999904.497147713,15995243.493740726,15220988.953071771,15630276.419186695,12064688.64052868,15918784.911489453,14481255.096918393,13780330.936106496,15798026.72700036,15339365.725284168,16000000.0,13396714.998152256,1215.0,0.0140625,1363.0,297506.6666943174,59743738.18797514,302.28390601937116,60703.07849005504,29.48809449038825,5921.645442339522,12.399954876129,0.0564157676894885,0.0496786868933423,,,424,849,933,2.197879858657244,6.391765429912203,43.5,39.06760522194543,19.791800643086816,0.0025918394559637,0.007537459233387,0.0045185847586595,0.0600203999379178,0.798590217682247,0.002115082162807,0.0116072309661115,0.0323165374875302,0.1358095803705854,0.0665337264461553,63,0.8221436984687868,AAVE,3,0.0035335689045936,89.66666666666667,0.002591839455963731,4427.31263383986
425,2021-12-09,722.0,1558.0,77794.0,95254.0,329.0,43206.0,86994.0,82.0,9873.0,103406.0,96556.0,87697.0,81902.0,2205.0,19.0,14976.0,132.0,52423.0,446.0,4.0,63398.0,639.0,85159.0,3228.0,28.0,90400.0,22012.0,170.0,1639103291.0,2351217273.3574405,0.928051658343,0.777537859182,2862071551.15856,2401454425.917462,2397893443.437588,3083957154.1391244,0.0,0.0,0.93152674138,89.299869033571,32.86464755754729,74.816987146514,27.5345746919672,0.0037314892777405,178.87947194741,112.0869506493411,-47.10528257477653,200.814787956872,0.0039764789295529,0.0453581674856115,177.062927816208,200.814787956872,0.001674541426,13433350.056858882,10926500.947643988,7830769.097906597,13144142.520996992,13433350.056858882,9178122.650513908,13433350.056858882,13433350.056858882,13433350.056858882,8249078.290073718,10455106.7653947,13433350.056858882,82.1508907562,15454150.157813575,15999113.422074104,15999997.141436597,14904427.862073395,15974308.412864864,15999953.067495424,13523217.223270308,15790720.209912961,15999998.786642298,15999961.258442609,15999629.787375713,15985480.368081965,15854114.320735672,15533588.990320358,11278869.343002172,14148412.929708358,15047573.601864072,7609622.081321861,15999981.302932205,15999890.098827269,15994369.028262125,15188626.035085162,15610158.169745604,11996344.662118772,15907587.79259311,14446201.000309955,13775511.980729204,15797992.28195086,15342461.368830692,16000000.0,13405078.946915504,950.0,0.01099537037,1058.0,179171.5953579406,32050120.365603432,229.8800031059572,41120.813566862584,24.621,4404.191478817182,12.393336901189,0.0570445228181166,0.0523923035377086,,,425,722,789,2.185595567867036,5.6863378855909135,34.7,33.7969426625151,15.8766793409379,0.003031339206473,0.0078867377053965,0.0063253586076574,0.0713453208011591,0.7861293032684837,0.0009529860228716,0.0131836079817388,0.0348269144208073,0.1219462144279165,0.0660939322962783,63,0.7922437673130194,AAVE,1,0.0013850415512465,129.0,0.003031339206473004,4157.28748042081
426,2021-12-10,777.0,1566.0,77850.0,95317.0,332.0,43239.0,87055.0,82.0,9885.0,103483.0,96619.0,87760.0,81959.0,2213.0,19.0,14998.0,133.0,52469.0,448.0,4.0,62808.0,624.0,85130.0,3129.0,27.0,90227.0,21352.0,168.0,1639190172.0,2227958120.370297,0.899722536707,0.753935982365,2711717555.740848,2276708790.5934653,2272324362.0935574,3013948684.296777,0.0,0.0,0.931317628541,104.358180122354,31.184453184271945,87.448500885995,26.131479858280333,0.003572770815343,169.482347233803,120.60532819268258,-45.47136955808863,178.87947194741,0.0037314892777406,0.0430279293385079,158.476064468239,178.87947194741,0.001676127142,13435710.876864104,10928905.56182288,7621483.723828513,13145664.76529146,13435710.876864104,9164123.893957129,13435710.876864104,13435710.876864104,13435710.876864104,8230268.175010456,10455914.56032092,13435710.876864104,82.1604047831,15453879.36160758,15999113.074208803,15999997.140578136,14901082.056656178,15974288.309926098,15999953.046621662,13499573.549666775,15790546.439067528,15999998.785783837,15999961.257568846,15999629.546815006,15985476.764852611,15854058.963430116,15533440.932838436,11278954.241692416,14138515.88585875,15042673.320618132,7604499.081738123,15999979.946421333,15999884.936624916,15993999.097882284,15175676.22479437,15603765.780539796,11930280.228548257,15903608.659905309,14420057.626699653,13752002.263578111,15797758.400959732,15339940.168014184,16000000.0,13407439.766920727,1078.0,0.012476851852,1171.0,153318.120163086,25984714.878714077,182.28016240443563,30893.269778462563,17.030372,2886.347420824836,12.388243454325,0.0564408659028396,0.0514129819095666,,,426,777,907,2.3346203346203347,6.29279152249754,43.6,33.07298326764948,18.67541345093716,0.0030085313590468,0.0081092674258988,0.0078703278703278,0.0820698875104083,0.783747381933243,0.0010861039039401,0.0130529085691232,0.0334374312990431,0.1475891693287991,0.0644063867313758,41,0.8597168597168597,AAVE,14,0.018018018018018,37.142857142857146,0.003008531359046823,3931.61310549386
427,2021-12-11,736.0,1559.0,77887.0,95370.0,332.0,43252.0,87107.0,81.0,9888.0,103549.0,96673.0,87812.0,82003.0,2216.0,20.0,14995.0,132.0,52482.0,444.0,4.0,63564.0,646.0,85285.0,3263.0,28.0,90554.0,22129.0,170.0,1639276444.0,2371898373.9400063,0.934505350873,0.783089155296,2887101768.971424,2424391539.998935,2419309941.246541,3089443807.11466,0.0,0.0,0.931542360143,113.595588858297,33.26548957631562,95.189903023246,27.875543043668205,0.0036585033957478,180.443860560714,139.97618568210677,-42.26247906141865,169.482347233803,0.003572770815343,0.0431075852801934,149.89008651775,169.482347233803,0.001677025143,13435820.326241124,10930803.489025341,7460924.657154467,13144799.532494668,13435820.326241124,9170400.702767145,13435820.326241124,13435820.326241124,13435820.326241124,8223835.644385859,10457609.314993152,13435820.326241124,82.1549970781,15452610.597586691,15999111.751372876,15999997.139325676,14904677.762281584,15974273.00562788,15999953.032147419,13501057.641418757,15790559.209007028,15999998.785803376,15999961.246966949,15999629.085951768,15985461.137107547,15853987.722147608,15533465.855416136,11411814.90629162,14139739.93648814,15041770.793389993,7602430.211739822,15999981.512451464,15999890.921045152,15994411.85329082,15189861.58342752,15611268.105063897,12021640.190963332,15908007.20909898,14438334.188571492,13766476.44125844,15797816.269911932,15340851.914742848,16000000.0,13407549.216297744,983.0,0.011377314815,1107.0,140850.53971557828,25415615.14833912,179.8092000905735,32445.466228676967,10.23524915,1846.8878704267663,12.377411441642,0.056653034260276,0.0534195775100836,,,427,736,832,2.260869565217391,5.923539234778209,39.8,30.60428437690093,17.603846153846153,0.0030760130139012,0.00805923705412,0.0007117637491716,0.00968997793847,0.7828990326830616,0.0010757314974182,0.0132207672975835,0.0344313479551923,0.1371159659385339,0.0673325510644294,54,0.8233695652173914,AAVE,12,0.0163043478260869,36.66666666666666,0.0030760130139012125,4079.58498480421
428,2021-12-12,755.0,1557.0,77923.0,95417.0,331.0,43276.0,87152.0,81.0,9892.0,103627.0,96720.0,87858.0,82040.0,2218.0,20.0,15009.0,132.0,52512.0,445.0,4.0,63607.0,645.0,85327.0,3261.0,28.0,90597.0,22126.0,171.0,1639363488.0,2370383743.9768076,0.934532199893,0.783161546555,2885261153.722176,2422865164.2986913,2417921595.0239887,3087385489.8245792,0.0,0.0,0.93145774613,156.170482648843,33.46253880878097,130.874802100606,28.042451237282584,0.0035967521110886,180.328822107636,131.02795787739817,-41.439934010234765,180.443860560714,0.0036585033957478,0.0442309355566407,159.859121896607,180.443860560714,0.001678443204,13436674.52967382,10928208.951268418,7332601.950803757,13144785.821103824,13436674.52967382,9164762.49154222,13436674.52967382,13436674.52967382,13436674.52967382,8081683.0430558575,10460075.071477277,13436674.52967382,82.1549113819,15452069.18962494,15999111.03533374,15999997.139324488,14903323.938086888,15974251.033663804,15999953.019818066,13497356.498542704,15790389.223397013,15999998.785802187,15999961.244637595,15999628.47010222,15985447.256039718,15853935.812522626,15533220.929108579,11376832.787987733,14138569.912847936,15042587.42373238,7600537.36308896,15999981.492779676,15999890.762650363,15994408.013381789,15189505.515599713,15610806.317630788,11988144.934998687,15907877.941525,14442981.38162616,13764021.238382388,15797707.356317548,15340981.61688819,16000000.0,13408403.41973044,948.0,0.010972222222,1049.0,102452.13902538035,18475073.55285461,127.92596371362188,23068.738353461616,6.116,1102.8910760103015,12.372489574004,0.0566497428057165,0.053514114892643,,,428,755,835,2.2119205298013247,6.078192169282452,43.0,31.10198278781167,19.44011976047904,0.002933581604511,0.008061262823982,0.0052583205672419,0.0606597782159456,0.8039341675929566,0.0020084354288009,0.0128371926378781,0.0340770872154499,0.1259596915405104,0.0649615567702592,61,0.8066225165562914,AAVE,7,0.0092715231788079,52.57142857142857,0.0029335816045110404,4140.98769053185
429,2021-12-13,841.0,1556.0,77858.0,95363.0,331.0,43189.0,87100.0,82.0,9814.0,103605.0,96666.0,87806.0,81980.0,2202.0,19.0,14913.0,132.0,52432.0,444.0,4.0,62310.0,601.0,85072.0,3018.0,27.0,90068.0,20617.0,165.0,1639444706.0,2139196136.179488,0.881266158535,0.738540585189,2603857717.993504,2186696354.9655614,2182149608.460124,2954677985.504565,0.0,0.0,0.93178864897,165.80037974918,30.85813994721063,138.948158054893,25.86050594788351,0.0034784646145383,162.741107374594,95.4685728051977,-47.9977132183798,180.328822107636,0.0035967521110886,0.0435472973078253,159.402909502044,180.328822107636,0.001679054118,13436989.06488084,10934775.394556789,7403385.649576185,13144780.508685688,13436989.06488084,9187423.784640128,13436989.06488084,13436989.06488084,13436989.06488084,8112065.781557402,10467545.360402891,13436989.06488084,82.1548781793,15456430.375162162,15999109.859122572,15999997.139236866,14908618.383524727,15974233.937277641,15999953.03462784,13517071.902010612,15790556.475907754,15999998.785714567,15999961.25650269,15999627.993611213,15985438.695778908,15853855.553208824,15535809.97422,11282938.467679208,14148460.99612294,15046305.192410232,7606169.237584732,15999978.713493044,15999878.940592753,15993688.786992513,15168809.866727537,15599822.270958997,11932638.825902512,15899540.573200228,14415431.211260203,13770740.475693839,15799017.592952598,15345582.03846242,16000000.0,13408717.954937462,1127.0,0.013043981481,1197.0,96501.58838118764,15704775.356561728,117.15258701640664,19065.541742848505,15.49,2520.8597532324607,12.359276208219,0.0568430484574637,0.0552775134232782,,,429,841,961,2.285374554102259,6.71596446527436,50.6,34.442222150533006,22.140790842872008,0.0027206839929788,0.0079951957919932,0.0035803167746202,0.0596548809938137,0.7979239237656743,0.0002973388175826,0.009979917113571,0.033026638868453,0.1130308113431402,0.0565151198635223,48,0.7146254458977408,AAVE,4,0.0047562425683709,82.5,0.00272068399297888,3788.08233664524
430,2021-12-14,1203.0,1547.0,77457.0,94934.0,334.0,42914.0,86672.0,82.0,9774.0,103194.0,96237.0,87379.0,81559.0,2193.0,19.0,14809.0,132.0,52171.0,445.0,4.0,62469.0,619.0,84733.0,3096.0,27.0,89837.0,21039.0,166.0,1639531133.0,2223423557.748564,0.905991398548,0.759272283205,2706390120.462048,2272858403.37188,2268108736.243549,2987213923.665021,0.0,0.0,0.932296532468,150.546257980873,32.85395722220464,126.166320351812,27.53348337789985,0.0035025882731615,169.149382528878,95.91081871822936,-46.22208064543619,162.741107374594,0.0034784646145383,0.0429613437385629,144.288384089736,162.741107374594,0.001674448581,13437180.455836654,10947842.657511167,7573798.435993987,13144733.516062172,13437180.455836654,9193682.023793885,13437180.455836654,13437180.455836654,13437180.455836654,8083978.599093027,10477043.43544546,13437180.455836654,82.1545844754,15460001.43717983,15999113.141595509,15999997.139144693,14916744.519492043,15974297.601982957,15999953.048645897,13517203.447865872,15792607.775312794,15999998.785622392,15999961.275942037,15999628.810756806,15985518.700693537,15855158.50668416,15539057.498203143,11282401.035074672,14148897.93508608,15052005.318743492,7599532.835469678,15999979.908015938,15999884.458474208,15994007.776967036,15184865.281005934,15608215.261862552,11927971.546928404,15903782.279236253,14418734.025963172,13770844.3615491,15801051.083125517,15349768.46364651,16000000.0,13408909.345893277,1400.0,0.016203703704,1477.0,106279.62604047476,17977133.120146368,100.81597953055837,17052.960686637947,7.57804518,1281.82166297294,12.346064635156,0.0569188790592963,0.0561723659210254,,,430,1203,1279,2.1263507896924354,11.525014200112048,83.4,99.7075724305832,39.22212666145427,0.0017690106403431,0.0095881981698103,0.0019528491889256,0.0418640494739375,0.810955343459418,7.382888924436132e-05,0.0109037713315831,0.0267012287011633,0.1104775674374929,0.0384161737620979,47,0.6467165419783873,AAVE,2,0.0016625103906899,258.0,0.0017690106403431243,3850.76330829924
431,2021-12-15,949.0,1550.0,77198.0,94689.0,335.0,42644.0,86425.0,81.0,9787.0,102960.0,95992.0,87133.0,81302.0,2197.0,19.0,14825.0,130.0,51910.0,442.0,4.0,62501.0,636.0,84530.0,3146.0,27.0,89704.0,21336.0,166.0,1639617569.0,2274939013.1198597,0.920285868209,0.771265994904,2769621410.635552,2325993918.066174,2321142686.8227983,3009522917.074568,0.0,0.0,0.932343205175,79.717005110098,34.207279200274314,66.80860521809,28.6681694642165,0.0035449340947626,173.101338164722,98.71561164211032,-42.87277808534363,169.149382528878,0.0035025882731615,0.0439261956621233,150.259032228211,169.149382528878,0.001675793989,13437426.183106452,10948823.333538527,7403281.254944148,13142238.166611072,13437426.183106452,9185409.475686455,13437426.183106452,13437426.183106452,13437426.183106452,8103753.664116579,10476641.831614196,13437426.183106452,82.1389885413,15460261.115940992,15999112.181616832,15999997.1382846,14917491.282806704,15974279.359705726,15999953.028315848,13512956.045550194,15793419.15530018,15999998.7847623,15999961.265611988,15999628.162141947,15985511.81473038,15856009.495208714,15539498.285485948,11312673.38239153,14133777.53847103,15047583.63117042,7601596.451805058,15999980.559149249,15999887.07962536,15994174.147947246,15192996.50252444,15611373.88877912,11960786.984802026,15906256.40728718,14419255.67297928,13779594.7090732,15801322.376664007,15348330.68181739,16000000.0,13409155.073163072,1181.0,0.013668981481,1289.0,200709.9988001585,34743169.37534718,210.62022613024553,36458.642987701845,5.82139625,1007.6914808620944,12.324259704615,0.0564668099927488,0.0566361397984335,,,431,949,1042,2.1959957850368808,11.127073114761496,64.1,91.66903027255776,29.18949136276392,0.0023164512500389,0.0117374188974277,0.0014095493547548,0.0342065633631123,0.7619468871688511,5.00575662011313e-05,0.0139480602462646,0.0293274396466289,0.1217453193063668,0.0477796485310413,42,0.5763962065331928,AAVE,2,0.0021074815595363,211.0,0.002316451250038904,4015.64231209819
432,2021-12-16,613.0,1555.0,77253.0,94752.0,336.0,42647.0,86484.0,85.0,9803.0,103027.0,96055.0,87194.0,81360.0,2201.0,19.0,14845.0,130.0,51934.0,447.0,4.0,62652.0,642.0,84596.0,3159.0,28.0,89795.0,21483.0,166.0,1639703712.0,2295277804.7201643,0.92422339575,0.774571901961,2795164120.348304,2347488221.053001,2342567391.1161847,3024338199.1847467,0.0,0.0,0.932128140345,153.349710598175,34.930310100858115,128.519119456794,29.274347365925028,0.0036652337899905,174.697757521769,100.28518733077614,-37.57322824525882,173.101338164722,0.0035449340947626,0.0431067621842734,153.209725254158,173.101338164722,0.001678835579,13437529.6164487,10948827.264386779,7667221.987947811,13138564.783432616,13437529.6164487,9174050.879894616,13437529.6164487,13437529.6164487,13437529.6164487,8078499.805016554,10473361.065636214,13437529.6164487,82.1160298965,15459844.195646768,15999111.576317469,15999997.138280123,14914050.24552312,15974234.640088571,15999952.993858738,13575021.446037572,15793301.768931579,15999998.784757825,15999961.24892774,15999627.958615566,15985493.75866954,15855935.511772236,15539115.9960201,11307963.947487352,14131677.869646672,15049101.944001189,7596566.518519051,15999980.720159788,15999887.405601574,15994232.4294212,15194424.429794999,15611437.413423903,12011154.60517681,15906916.599882066,14411914.155906461,13778139.696731472,15801053.084138257,15347160.99412742,16000000.0,13409258.50650532,762.0,0.008819444444,849.0,104336.68206864149,18227384.384653434,197.52459534137063,34507.10386153231,11.90383183,2079.572726617256,12.29021828245,0.0564335466860443,0.0556558482057961,,,432,613,679,2.2153344208809136,5.965529502826303,34.5,32.101401838549044,15.573269513991162,0.0036198274850995,0.0097475972268403,0.0123619065271635,0.0962882947188017,0.7889894824972178,0.003585147247119,0.0149865548322928,0.0375369566438982,0.129825565681028,0.0661707235348059,40,0.7814029363784666,AAVE,3,0.0048939641109298,14.571428571428571,0.003619827485099532,3973.45109526593
433,2021-12-17,705.0,1567.0,77292.0,94799.0,340.0,42666.0,86528.0,85.0,9830.0,103078.0,96103.0,87238.0,81399.0,2210.0,19.0,14874.0,130.0,51945.0,454.0,4.0,63168.0,656.0,84720.0,3278.0,28.0,90021.0,22018.0,171.0,1639790203.0,2421611769.656658,0.940764338881,0.78844354445,2921727157.90544,2453798409.2350683,2448665219.4274263,3105695057.892852,0.0,0.0,0.931939337857,45.775493035072,36.42535201897037,38.363903143331,30.527659762109803,0.0039410808666476,182.60794736909,114.75920786321456,-35.41587467473524,174.697757521769,0.0036652337899906,0.0439662533483573,154.186040311146,174.697757521769,0.00167891293,13437683.212244416,11064596.178729111,7757686.327881181,13261261.651236128,13437683.212244416,9299976.790584654,13437683.212244416,13437683.212244416,13437683.212244416,8063661.889246619,10599261.723302541,13437683.212244416,82.8828853202,15459385.672162777,15999111.247900149,15999997.134461608,14911029.405715812,15974238.845077123,15999952.974792263,13555970.271689992,15793284.274570784,15999998.782249037,15999961.233514264,15999627.620516712,15985480.219147831,15855948.197234765,15538435.082565852,11277695.244365592,14111319.442490645,15049909.333206516,7557321.274655313,15999981.724047005,15999891.905430058,15994503.416225284,15197940.610784324,15616964.632198857,11981323.866480105,15909771.94511864,14421194.128503611,13759086.422383891,15800704.032863492,15343949.322901323,16000000.0,13409412.102301035,1011.0,0.011701388889,1155.0,349532.0080493982,63827322.529696845,411.7054755087241,75180.69180326327,35.889,6553.616623129271,12.291190663223,0.056315177383968,0.0565420632634991,,,433,705,814,2.309219858156028,5.706180619278746,37.2,28.514323885841424,16.109336609336612,0.0032801418439716,0.0081053701978391,0.0162879588176229,0.1124587836397946,0.7720511442870175,0.0059870679332641,0.0134480737746176,0.0352043600570272,0.1352099502917985,0.0689219481477528,50,0.8042553191489362,AAVE,5,0.0070921985815602,53.0,0.003280141843971631,3885.43008158971
434,2021-12-18,966.0,1566.0,77244.0,94765.0,340.0,42705.0,86492.0,86.0,9837.0,103039.0,96068.0,87202.0,81358.0,2214.0,19.0,14890.0,132.0,51880.0,455.0,4.0,63822.0,662.0,84782.0,3385.0,29.0,90184.0,22766.0,174.0,1639876007.0,2556054460.75509,0.968968297241,0.812114272167,3083856398.780528,2589992834.929101,2584649881.62684,3182618469.10988,0.0,0.0,0.932143040685,37.689084710234,38.17908175614168,31.588075363513,31.998752983652103,0.0041091897242467,192.741024923783,115.71798637587636,-26.3658951267651,182.60794736909,0.0039410808666476,0.0469981298169123,162.523995077387,182.60794736909,0.001670488779,13438233.429324564,11065532.260482984,7728368.035908998,13261600.43906506,13438233.429324564,9139907.981537247,13438233.429324564,13438233.429324564,13438233.429324564,8077688.640463689,10599432.576962622,13438233.429324564,82.8850027442,15458155.32008392,15999110.10902148,15999997.136607865,14914288.65096772,15974369.846603788,15999952.948916206,13569188.643410698,15793182.757994115,15999998.783085564,15999961.212553969,15999627.25299726,15985469.674829,15855954.42593898,15538013.978557343,11265521.276161034,14138004.85788132,15053788.945789391,7562655.163429114,15999982.772160722,15999897.123727165,15994878.60824186,15202440.929582603,15622144.154051667,12022449.1976563,15913699.789835447,14445839.050419824,13761294.21854281,15800436.218690239,15342906.65004918,16000000.0,13409962.319381185,1714.0,0.019837962963,1975.0,424526.0961632047,81823594.88138853,298.2177854617003,57478.80162038895,93.31,17984.66503563819,12.305926809211,0.0535620112357889,0.0566079140738012,,,434,966,1204,2.4927536231884058,7.503605301008897,58.9,40.58858624457537,23.628488372093024,0.002583164376361,0.0077757567886102,0.0185707992176273,0.1160026493395583,0.7619459222304398,0.0078718409059522,0.0118527764205121,0.029927170555156,0.1374730944107013,0.0648191544464259,47,0.7712215320910973,AAVE,5,0.005175983436853,108.0,0.0025831643763610424,3965.87124079486
